id,supplier_id,product_id,quantity,unit_price,total_price,status,priority,created_at,updated_at,warehouse,notes
ord_00025,sup_042,prod_2457,62,27.54,1707.48,cancelled,low,2024-12-06T17:31:45Z,2024-12-15T17:31:45Z,warehouse_west,Approved by regional manager
ord_00026,sup_387,prod_2451,198,6.16,1219.68,delivered,high,2023-01-31T09:20:05Z,2023-02-07T09:20:05Z,warehouse_west,Seasonal stock preparation
ord_00027,sup_097,prod_3684,180,11.87,2136.6,delivered,high,2024-10-17T08:38:45Z,2024-10-31T08:38:45Z,warehouse_north,Urgent restock needed
ord_00028,sup_311,prod_1131,198,1510.93,299164.14,cancelled,medium,2023-07-11T11:10:25Z,2023-07-18T11:10:25Z,warehouse_west,Sample evaluation
ord_00029,sup_455,prod_1327,40,318.57,12742.8,delivered,medium,2023-01-24T08:01:29Z,2023-02-04T08:01:29Z,warehouse_central,Customer backorder fulfillment
ord_00030,sup_385,prod_2436,170,43.01,7311.7,approved,medium,2023-02-03T23:27:55Z,2023-02-06T23:27:55Z,warehouse_south,Hold for supplier confirmation
ord_00031,sup_132,prod_2582,70,30.46,2132.2,approved,low,2023-07-03T06:46:13Z,2023-07-06T06:46:13Z,warehouse_south,Replacement for defective batch
ord_00032,sup_230,prod_3274,105,5.78,606.9,delivered,low,2023-03-19T14:39:38Z,2023-03-29T14:39:38Z,warehouse_south,
ord_00033,sup_411,prod_1932,138,3547.23,489517.74,rejected,low,2024-04-17T22:56:03Z,2024-04-22T22:56:03Z,warehouse_west,Replacement for defective batch
ord_00034,sup_215,prod_1387,154,383.35,59035.9,pending,critical,2023-02-08T14:30:30Z,2023-02-08T14:30:30Z,warehouse_east,
ord_00035,sup_016,prod_0990,31,209.76,6502.56,delivered,low,2024-07-13T06:37:54Z,2024-07-23T06:37:54Z,warehouse_east,Urgent restock needed
ord_00036,sup_194,prod_0320,111,39.46,4380.06,rejected,low,2023-10-04T14:32:25Z,2023-10-06T14:32:25Z,warehouse_west,Hold for supplier confirmation
ord_00037,sup_500,prod_0541,166,18.24,3027.84,pending,low,2024-01-27T00:55:40Z,2024-01-27T00:55:40Z,warehouse_north,Free samples for evaluation
ord_00038,sup_216,prod_2196,149,327.35,48775.15,delivered,medium,2024-06-08T14:44:35Z,2024-06-16T14:44:35Z,warehouse_north,Return - damaged items
ord_00039,sup_071,prod_1330,36,21.98,791.28,shipped,medium,2023-09-05T06:45:09Z,2023-09-11T06:45:09Z,warehouse_north,Sample evaluation
ord_00040,sup_042,prod_2927,181,53.96,9766.76,cancelled,high,2023-12-05T13:28:55Z,2023-12-07T13:28:55Z,warehouse_north,
ord_00041,sup_120,prod_3411,130,22.99,2988.7,approved,low,2024-02-07T07:21:06Z,2024-02-09T07:21:06Z,warehouse_north,
ord_00042,sup_011,prod_2645,42,3470.56,145763.52,delivered,medium,2024-06-14T01:52:26Z,2024-06-27T01:52:26Z,warehouse_west,Free samples for evaluation
ord_00043,sup_326,prod_2190,6,37.8,226.8,approved,low,2024-08-03T02:13:25Z,2024-08-06T02:13:25Z,warehouse_central,New vendor trial order
ord_00044,sup_421,prod_2582,104,43.64,4538.56,delivered,low,2024-02-20T19:00:44Z,2024-02-28T19:00:44Z,warehouse_north,Hold for supplier confirmation
ord_00045,sup_179,prod_4553,172,1.37,235.64,shipped,medium,2024-12-04T00:35:23Z,2024-12-09T00:35:23Z,warehouse_central,Sample evaluation
ord_00046,sup_008,prod_3301,40,3.66,146.4,approved,medium,2023-01-26T18:19:27Z,2023-01-27T18:19:27Z,warehouse_south,Hold for supplier confirmation
ord_00047,sup_095,prod_0782,59,19.6,1156.4,approved,medium,2023-06-16T05:47:43Z,2023-06-17T05:47:43Z,warehouse_central,Sample evaluation
ord_00048,sup_200,prod_4277,122,18.58,2266.76,delivered,medium,2023-01-07T06:42:06Z,2023-01-17T06:42:06Z,warehouse_south,
ord_00049,sup_273,prod_0754,50,43.12,2156,delivered,medium,2023-12-14T05:29:02Z,2023-12-28T05:29:02Z,warehouse_west,
ord_00050,sup_234,prod_2334,149,15.91,2370.59,cancelled,high,2024-10-22T23:50:46Z,2024-10-22T23:50:46Z,warehouse_north,Warehouse transfer
ord_00051,sup_042,prod_2579,141,444.58,62685.78,delivered,high,2024-07-30T16:47:51Z,2024-08-06T16:47:51Z,warehouse_central,Urgent restock needed
ord_00052,sup_494,prod_2089,71,16.01,1136.71,rejected,low,2023-10-09T14:56:13Z,2023-10-11T14:56:13Z,warehouse_central,Regular monthly order
ord_00053,sup_390,prod_1538,8,90.44,723.52,delivered,high,2024-02-12T10:10:10Z,2024-02-20T10:10:10Z,,"<div onmouseover=""alert(1)"">hover me</div>"
ord_00054,sup_287,prod_3113,117,47.35,5539.95,pending,medium,2023-06-22T03:33:37Z,2023-06-22T03:33:37Z,warehouse_east,Customer backorder fulfillment
ord_00055,sup_210,prod_2889,94,27.1,2547.4,delivered,critical,2023-09-05T17:01:33Z,2023-09-11T17:01:33Z,warehouse_south,Free samples for evaluation
ord_00056,sup_100,prod_2245,106,4094.8,434048.8,delivered,medium,2023-12-26T10:54:45Z,2024-01-06T10:54:45Z,warehouse_north,Sample evaluation
ord_00057,sup_042,prod_2168,98,423.39,41492.22,delivered,low,2024-01-17T21:10:30Z,2024-01-31T21:10:30Z,warehouse_west,Regular monthly order
ord_00058,sup_316,prod_3611,190,4.81,913.9,approved,medium,2024-12-04T11:09:11Z,2024-12-05T11:09:11Z,warehouse_central,
ord_00059,sup_275,prod_3903,152,40.13,6099.76,rejected,high,2024-04-08T11:40:05Z,2024-04-13T11:40:05Z,warehouse_west,Replacement for defective batch
ord_00060,sup_315,prod_3888,129,31.43,4054.47,cancelled,high,2023-04-18T06:59:44Z,2023-04-26T06:59:44Z,warehouse_north,
ord_00061,sup_393,prod_4125,156,46.74,7291.44,cancelled,medium,2023-12-26T09:54:38Z,2024-01-01T09:54:38Z,warehouse_north,Free samples for evaluation
ord_00062,sup_282,prod_3573,54,18.86,1018.44,delivered,medium,2024-12-03T00:28:55Z,2024-12-08T00:28:55Z,warehouse_central,
ord_00063,sup_365,prod_1769,160,36.48,5836.8,approved,medium,2023-01-25T14:10:46Z,2023-01-26T14:10:46Z,warehouse_west,
ord_00064,sup_042,prod_3288,115,13.41,1542.15,delivered,critical,2023-04-05T04:10:46Z,2023-04-12T04:10:46Z,warehouse_north,
ord_00065,sup_051,prod_1126,151,2682.17,405007.67,delivered,low,2024-01-08T19:45:43Z,2024-01-18T19:45:43Z,warehouse_south,After-hours emergency order
ord_00066,sup_427,prod_4910,114,91.75,10459.5,delivered,low,2024-01-12T21:48:22Z,2024-01-17T21:48:22Z,warehouse_central,Customer backorder fulfillment
ord_00067,sup_081,prod_2837,116,22.01,2553.16,delivered,medium,2023-07-10T20:30:53Z,2023-07-21T20:30:53Z,,Customer backorder fulfillment
ord_00068,sup_276,prod_1068,175,3.88,679,shipped,low,2023-03-09T20:00:10Z,2023-03-11T20:00:10Z,warehouse_east,Customer backorder fulfillment
ord_00069,sup_202,prod_1543,184,5.92,1089.28,rejected,critical,2024-07-09T14:47:40Z,2024-07-12T14:47:40Z,warehouse_north,Warehouse transfer
ord_00070,sup_051,prod_3836,94,20.8,1955.2,shipped,high,2024-04-10T02:48:50Z,2024-04-14T02:48:50Z,warehouse_north,Approved by regional manager
ord_00071,sup_171,prod_4188,77,3303.34,254357.18,cancelled,medium,2024-02-29T12:57:45Z,2024-03-09T12:57:45Z,warehouse_west,Replacement for defective batch
ord_00072,sup_262,prod_1495,179,14.93,2672.47,shipped,medium,2024-01-03T03:38:59Z,2024-01-08T03:38:59Z,warehouse_west,Regular monthly order
ord_00073,sup_080,prod_0494,60,306.75,18405,approved,low,2023-11-18T03:24:12Z,2023-11-19T03:24:12Z,warehouse_south,
ord_00074,sup_042,prod_4148,142,32.45,4607.9,cancelled,low,2023-03-31T21:38:39Z,2023-04-08T21:38:39Z,warehouse_west,Pending quality check
ord_00075,sup_422,prod_0854,150,548.86,82329,shipped,low,2023-12-10T00:30:01Z,2023-12-13T00:30:01Z,warehouse_south,Priority shipment requested
ord_00076,sup_414,prod_0488,65,4125.15,268134.75,delivered,low,2023-08-22T16:15:26Z,2023-08-30T16:15:26Z,warehouse_east,Pending quality check
ord_00077,sup_046,prod_3066,25,45.51,1137.75,approved,medium,2024-08-08T00:39:54Z,2024-08-09T00:39:54Z,warehouse_south,Sample evaluation
ord_00078,sup_387,prod_0155,129,46.31,5973.99,shipped,medium,2023-12-26T12:05:01Z,2023-12-29T12:05:01Z,warehouse_east,Sample evaluation
ord_00079,sup_197,prod_4084,114,65.09,7420.26,shipped,medium,2023-02-20T02:04:08Z,2023-02-26T02:04:08Z,warehouse_south,New vendor trial order
ord_00080,sup_369,prod_2492,133,1.25,166.25,delivered,medium,2023-12-05T20:19:37Z,2023-12-12T20:19:37Z,warehouse_south,After-hours emergency order
ord_00081,sup_225,prod_1696,103,3328.05,342789.15,pending,medium,2024-04-16T21:47:57Z,2024-04-16T21:47:57Z,,
ord_00082,sup_447,prod_1207,169,2.65,447.85,approved,medium,2023-08-24T13:36:55Z,2023-08-27T13:36:55Z,warehouse_west,Seasonal stock preparation
ord_00083,sup_214,prod_2053,174,53.25,9265.5,shipped,high,2023-02-14T00:26:32Z,2023-02-20T00:26:32Z,warehouse_north,Replacement for defective batch
ord_00084,sup_486,prod_3168,92,41.26,3795.92,delivered,medium,2024-12-24T11:29:17Z,2024-12-30T11:29:17Z,warehouse_south,Priority shipment requested
ord_00085,sup_413,prod_2546,72,31.46,2265.12,rejected,medium,2024-06-30T03:01:50Z,2024-07-04T03:01:50Z,warehouse_central,
ord_00086,sup_270,prod_2895,93,27.65,2571.45,shipped,medium,2024-01-01T06:51:26Z,2024-01-05T06:51:26Z,warehouse_east,Free samples for evaluation
ord_00087,sup_025,prod_2474,53,21.44,1136.32,pending,medium,2023-04-08T14:02:09Z,2023-04-08T14:02:09Z,warehouse_south,
ord_00088,sup_283,prod_1138,166,173.23,28756.18,delivered,high,2024-03-19T04:05:50Z,2024-03-29T04:05:50Z,warehouse_south,After-hours emergency order
ord_00089,sup_338,prod_4132,122,4.86,592.92,rejected,high,2024-02-06T08:01:28Z,2024-02-11T08:01:28Z,warehouse_west,
ord_00090,sup_302,prod_2384,190,9.91,1882.9,pending,high,2023-03-30T22:25:19Z,2023-03-30T22:25:19Z,warehouse_north,Priority shipment requested
ord_00091,sup_435,prod_0566,131,28.79,3771.49,delivered,critical,2024-11-16T19:24:34Z,2024-11-21T19:24:34Z,warehouse_north,Pending quality check
ord_00092,sup_042,prod_0729,129,31.64,4081.56,delivered,high,2024-05-26T02:23:22Z,2024-05-31T02:23:22Z,warehouse_south,Pending quality check
ord_00093,sup_415,prod_3153,126,303.75,38272.5,cancelled,medium,2023-12-03T14:24:20Z,2023-12-03T14:24:20Z,warehouse_east,Seasonal stock preparation
ord_00094,sup_281,prod_3801,167,19.86,3316.62,approved,medium,2023-01-11T10:32:32Z,2023-01-13T10:32:32Z,warehouse_central,
ord_00095,sup_095,prod_0933,3,584.68,1754.04,cancelled,high,2023-12-15T12:51:28Z,2023-12-15T12:51:28Z,warehouse_east,Approved by regional manager
ord_00096,sup_254,prod_1193,116,53.6,6217.6,pending,critical,2024-01-30T05:01:49Z,2024-01-30T05:01:49Z,warehouse_west,Warehouse transfer
ord_00097,sup_443,prod_4885,99,6.23,616.77,approved,high,2023-12-02T09:07:11Z,2023-12-04T09:07:11Z,warehouse_west,
ord_00098,sup_042,prod_4699,116,309.77,35933.32,pending,medium,2023-12-03T08:18:40Z,2023-12-03T08:18:40Z,warehouse_south,Sample evaluation
ord_00099,sup_011,prod_0033,57,31.88,1817.16,delivered,low,2024-03-12T03:33:26Z,2024-03-26T03:33:26Z,warehouse_east,
ord_00100,sup_176,prod_3652,43,198.03,8515.29,delivered,low,2024-09-23T20:57:43Z,2024-10-01T20:57:43Z,warehouse_east,Return - damaged items
ord_00101,sup_421,prod_0332,70,621.98,43538.6,delivered,medium,2023-01-22T22:57:13Z,2023-01-27T22:57:13Z,,Pending quality check
ord_00102,sup_042,prod_2151,118,38.83,4581.94,delivered,medium,2024-09-20T10:11:00Z,2024-09-29T10:11:00Z,warehouse_west,New vendor trial order
ord_00103,sup_124,prod_1732,101,99.83,10082.83,pending,medium,2024-11-05T14:57:16Z,2024-11-05T14:57:16Z,warehouse_south,Regular monthly order
ord_00104,sup_044,prod_2650,67,29.43,1971.81,approved,low,2024-12-15T06:29:57Z,2024-12-17T06:29:57Z,warehouse_central,Priority shipment requested
ord_00105,sup_223,prod_2743,139,384.82,53489.98,approved,high,2023-12-02T10:15:22Z,2023-12-04T10:15:22Z,warehouse_north,Regular monthly order
ord_00106,sup_395,prod_2604,4,22.32,89.28,shipped,high,2024-03-29T05:06:43Z,2024-04-01T05:06:43Z,warehouse_central,Return - damaged items
ord_00107,sup_446,prod_2823,40,1094.93,43797.2,approved,low,2023-04-06T11:55:25Z,2023-04-08T11:55:25Z,warehouse_north,Approved by regional manager
ord_00108,sup_042,prod_2431,49,10.78,528.22,delivered,low,2024-12-24T07:30:37Z,2025-01-05T07:30:37Z,warehouse_north,Replacement for defective batch
ord_00109,sup_191,prod_1411,98,41.02,4019.96,pending,medium,2024-12-18T04:41:49Z,2024-12-18T04:41:49Z,warehouse_south,
ord_00110,sup_207,prod_1968,161,445.49,71723.89,approved,low,2023-01-25T19:49:22Z,2023-01-26T19:49:22Z,warehouse_south,Regular monthly order
ord_00111,sup_414,prod_0475,113,125.89,14225.57,cancelled,medium,2024-01-29T22:33:36Z,2024-02-02T22:33:36Z,warehouse_south,Quality inspection required
ord_00112,sup_395,prod_1144,145,11.99,1738.55,delivered,medium,2024-12-06T17:54:24Z,2024-12-16T17:54:24Z,warehouse_north,Warehouse transfer
ord_00113,sup_275,prod_2994,119,28.34,3372.46,delivered,low,2024-03-31T17:59:10Z,2024-04-13T17:59:10Z,warehouse_east,Warehouse transfer
ord_00114,sup_011,prod_4020,95,1693.5,160882.5,approved,medium,2023-03-04T17:17:20Z,2023-03-05T17:17:20Z,warehouse_north,Return - damaged items
ord_00115,sup_271,prod_4026,88,477.84,42049.92,pending,low,2024-09-12T07:02:15Z,2024-09-12T07:02:15Z,warehouse_east,New vendor trial order
ord_00116,sup_042,prod_1771,67,6.52,436.84,pending,low,2024-09-03T07:44:31Z,2024-09-03T07:44:31Z,warehouse_east,Seasonal stock preparation
ord_00117,sup_116,prod_3824,46,6.07,279.22,delivered,medium,2023-04-20T08:23:22Z,2023-04-28T08:23:22Z,warehouse_north,After-hours emergency order
ord_00118,sup_239,prod_2687,143,266.96,38175.28,approved,low,2024-09-12T05:27:11Z,2024-09-14T05:27:11Z,warehouse_central,Pending quality check
ord_00119,sup_048,prod_4523,152,175.3,23941.41,shipped,medium,2024-01-30T14:33:48Z,2024-02-06T14:33:48Z,warehouse_east,Regular monthly order
ord_00120,sup_236,prod_4570,183,211.72,38744.76,pending,low,2023-07-08T12:58:32Z,2023-07-08T12:58:32Z,warehouse_north,Urgent restock needed
ord_00121,sup_170,prod_4767,64,14.37,919.68,pending,high,2023-01-14T04:53:37Z,2023-01-14T04:53:37Z,warehouse_central,Priority shipment requested
ord_00122,sup_393,prod_0254,-35,13.39,468.65,delivered,low,2023-08-07T19:18:17Z,2023-08-18T19:18:17Z,warehouse_south,Hold for supplier confirmation
ord_00123,sup_383,prod_3697,92,30.96,2848.32,shipped,low,2023-06-30T23:56:22Z,2023-07-04T23:56:22Z,warehouse_south,Pending quality check
ord_00124,sup_419,prod_1063,40,234.5,9380,rejected,low,2024-07-18T23:59:42Z,2024-07-21T23:59:42Z,warehouse_west,Free samples for evaluation
ord_00125,sup_370,prod_1695,125,18.86,2357.5,pending,high,2024-03-29T06:40:51Z,2024-03-29T06:40:51Z,warehouse_central,
ord_00126,sup_261,prod_1721,14,2731.94,38247.16,delivered,medium,2024-03-27T09:41:57Z,2024-04-05T09:41:57Z,warehouse_west,Free samples for evaluation
ord_00127,sup_284,prod_2493,200,27.07,5414,pending,medium,2024-12-01T00:47:32Z,2024-12-01T00:47:32Z,warehouse_central,Priority shipment requested
ord_00128,sup_362,prod_4826,45,13.1,589.5,pending,medium,2024-05-06T18:04:12Z,2024-05-06T18:04:12Z,warehouse_east,Urgent restock needed
ord_00129,sup_095,prod_2790,61,121.08,7385.88,delivered,low,2023-03-13T22:54:48Z,2023-03-19T22:54:48Z,warehouse_central,Approved by regional manager
ord_00130,sup_320,prod_2142,92,15.41,1417.72,pending,high,2023-12-22T07:47:51Z,2023-12-22T07:47:51Z,warehouse_north,Customer backorder fulfillment
ord_00131,sup_209,prod_4547,122,27.35,3336.7,pending,medium,2024-07-18T01:50:00Z,2024-07-18T01:50:00Z,,Warehouse transfer
ord_00132,sup_042,prod_1254,193,20.09,3877.37,cancelled,low,2024-06-21T08:01:13Z,2024-06-29T08:01:13Z,warehouse_east,Customer backorder fulfillment
ord_00133,sup_342,prod_1350,106,26.67,2827.02,cancelled,medium,2024-03-09T23:48:25Z,2024-03-15T23:48:25Z,warehouse_east,Pending quality check
ord_00134,sup_042,prod_1893,82,5.52,452.64,approved,low,2023-09-24T02:30:04Z,2023-09-26T02:30:04Z,warehouse_east,
ord_00135,sup_180,prod_0989,74,10.02,741.48,rejected,medium,2023-06-05T17:06:32Z,2023-06-06T17:06:32Z,warehouse_west,Regular monthly order
ord_00136,sup_104,prod_2515,29,4.73,137.17,cancelled,low,2024-05-06T17:16:54Z,2024-05-12T17:16:54Z,warehouse_north,
ord_00137,sup_482,prod_0900,149,516.78,77000.22,delivered,medium,2024-02-12T03:12:33Z,2024-02-23T03:12:33Z,warehouse_east,Return - damaged items
ord_00138,sup_042,prod_3163,168,240.26,40363.68,delivered,medium,2023-05-16T22:55:40Z,2023-05-22T22:55:40Z,warehouse_south,New vendor trial order
ord_00139,sup_311,prod_3998,91,1651.24,150262.84,delivered,high,2023-01-16T16:59:52Z,2023-01-21T16:59:52Z,warehouse_south,
ord_00140,sup_218,prod_0837,123,53.66,6600.18,approved,medium,2023-11-05T13:03:22Z,2023-11-08T13:03:22Z,warehouse_south,After-hours emergency order
ord_00141,sup_042,prod_4372,163,8.5,1385.5,approved,low,2023-12-04T12:44:21Z,2023-12-05T12:44:21Z,warehouse_west,New vendor trial order
ord_00142,sup_042,prod_0018,124,227.62,28224.88,delivered,low,2023-09-06T02:26:45Z,2023-09-12T02:26:45Z,warehouse_central,New vendor trial order
ord_00143,sup_180,prod_4244,81,5.02,406.62,cancelled,low,2024-10-15T16:55:01Z,2024-10-16T16:55:01Z,warehouse_central,Return - damaged items
ord_00144,sup_053,prod_2273,37,76.94,2846.78,delivered,low,2023-12-01T05:45:19Z,2023-12-09T05:45:19Z,warehouse_west,Warehouse transfer
ord_00145,sup_042,prod_0712,61,13.04,795.44,approved,high,2024-05-11T07:23:29Z,2024-05-14T07:23:29Z,warehouse_east,Urgent restock needed
ord_00146,sup_192,prod_4666,170,1734.78,294912.6,pending,low,2023-01-22T23:10:35Z,2023-01-22T23:10:35Z,warehouse_west,Regular monthly order
ord_00147,sup_122,prod_2510,29,4.11,119.19,pending,critical,2024-08-09T13:44:10Z,2024-08-09T13:44:10Z,,Warehouse transfer
ord_00148,sup_138,prod_2529,168,3.15,529.2,delivered,medium,2024-01-03T08:15:32Z,2024-01-13T08:15:32Z,warehouse_south,Free samples for evaluation
ord_00149,sup_202,prod_0180,30,27.49,824.7,shipped,medium,2023-06-03T04:48:16Z,2023-06-08T04:48:16Z,warehouse_central,Pending quality check
ord_00150,sup_289,prod_2905,-11,51.16,511.66,delivered,low,2024-01-19T08:39:43Z,2024-01-27T08:39:43Z,warehouse_west,
ord_00151,sup_481,prod_4440,176,41.71,7340.96,rejected,high,2024-05-14T02:51:52Z,2024-05-18T02:51:52Z,warehouse_north,Approved by regional manager
ord_00152,sup_292,prod_0042,35,348.69,12204.15,pending,medium,2023-11-04T23:20:57Z,2023-11-04T23:20:57Z,warehouse_south,
ord_00153,sup_455,prod_4003,22,195.79,4307.38,delivered,medium,2023-03-23T07:40:57Z,2023-03-31T07:40:57Z,warehouse_south,Warehouse transfer
ord_00154,sup_308,prod_4717,105,309.75,32523.75,rejected,critical,2023-08-13T23:34:52Z,2023-08-18T23:34:52Z,warehouse_south,Regular monthly order
ord_00155,sup_461,prod_0709,102,43.56,4443.12,shipped,high,2023-11-18T02:14:40Z,2023-11-25T02:14:40Z,warehouse_east,After-hours emergency order
ord_00156,sup_236,prod_2567,164,27.63,4531.32,pending,medium,2024-01-21T09:36:20Z,2024-01-21T09:36:20Z,warehouse_west,Quality inspection required
ord_00157,sup_324,prod_3910,83,10.07,835.81,pending,low,2024-01-02T16:55:09Z,2024-01-02T16:55:09Z,warehouse_south,Return - damaged items
ord_00158,sup_453,prod_3909,42,1156.24,48562.08,delivered,medium,2024-03-26T22:40:06Z,2024-03-31T22:40:06Z,warehouse_west,Free samples for evaluation
ord_00159,sup_102,prod_1780,141,3684.85,519563.85,approved,high,2024-04-20T07:07:28Z,2024-04-23T07:07:28Z,warehouse_central,After-hours emergency order
ord_00160,sup_196,prod_1190,6,2974.14,17844.84,approved,medium,2023-03-30T19:09:11Z,2023-04-02T19:09:11Z,warehouse_west,Customer backorder fulfillment
ord_00161,sup_002,prod_2293,187,2482.05,464143.35,approved,low,2024-12-28T22:16:00Z,2024-12-31T22:16:00Z,warehouse_east,Priority shipment requested
ord_00162,sup_485,prod_4188,90,5050.37,454533.3,rejected,medium,2023-01-01T16:28:52Z,2023-01-05T16:28:52Z,warehouse_west,Pending quality check
ord_00163,sup_088,prod_0633,89,32.3,2874.7,rejected,medium,2024-10-10T18:19:41Z,2024-10-11T18:19:41Z,warehouse_south,Warehouse transfer
ord_00164,sup_251,prod_4325,7,5232.44,36627.08,rejected,low,2023-03-12T12:17:06Z,2023-03-17T12:17:06Z,warehouse_south,Quality inspection required
ord_00165,sup_167,prod_4672,71,59.28,4208.88,pending,medium,2023-06-06T06:11:37Z,2023-06-06T06:11:37Z,warehouse_east,New vendor trial order
ord_00166,sup_474,prod_0210,51,329.48,16803.48,delivered,high,2023-09-21T06:15:32Z,2023-09-28T06:15:32Z,warehouse_south,Warehouse transfer
ord_00167,sup_063,prod_2180,158,30.17,4766.86,approved,high,2023-12-26T00:06:59Z,2023-12-27T00:06:59Z,warehouse_south,Quality inspection required
ord_00168,sup_179,prod_2765,137,27.32,3742.84,pending,medium,2024-12-02T18:51:28Z,2024-12-02T18:51:28Z,warehouse_west,
ord_00169,sup_292,prod_4382,57,39.3,2240.1,rejected,medium,2024-07-11T04:07:46Z,2024-07-16T04:07:46Z,warehouse_west,
ord_00170,sup_492,prod_3792,69,5.47,377.43,pending,medium,2023-07-14T11:07:34Z,2023-07-14T11:07:34Z,warehouse_central,After-hours emergency order
ord_00171,sup_184,prod_2910,85,15.65,1330.25,shipped,medium,2024-08-15T18:03:08Z,2024-08-21T18:03:08Z,warehouse_south,
ord_00172,sup_254,prod_4368,28,421.44,11800.32,approved,high,2024-12-18T00:08:00Z,2024-12-20T00:08:00Z,,Approved by regional manager
ord_00173,sup_181,prod_3290,18,11.5,207,delivered,low,2024-01-18T04:14:25Z,2024-02-01T04:14:25Z,warehouse_south,New vendor trial order
ord_00174,sup_042,prod_3829,184,167.15,30755.6,delivered,medium,2023-04-04T18:11:28Z,2023-04-16T18:11:28Z,warehouse_north,After-hours emergency order
ord_00175,sup_445,prod_0712,81,13.67,1107.27,cancelled,high,2023-05-22T03:48:16Z,2023-05-27T03:48:16Z,warehouse_north,Quality inspection required
ord_00176,sup_287,prod_1872,129,9.67,1247.43,approved,medium,2023-05-19T21:57:47Z,2023-05-20T21:57:47Z,warehouse_central,Free samples for evaluation
ord_00177,sup_130,prod_3341,193,15.48,2987.64,pending,low,2024-03-31T20:45:13Z,2024-03-31T20:45:13Z,warehouse_central,Seasonal stock preparation
